影片名,链接,上映日期,影片类型,地区,关注者
蜘蛛侠：英雄远征,https://movie.douban.com/subject/30201138/,06月28日,动作 / 科幻 / 冒险,美国,107817人
逆流大叔,https://movie.douban.com/subject/30201138/,06月28日,剧情,香港,8574人
学区房72小时,https://movie.douban.com/subject/30201138/,06月28日,剧情,中国大陆,923人
你咪理，我爱你！,https://movie.douban.com/subject/30201138/,06月28日,喜剧 / 爱情 / 歌舞,香港,595人
潜行者,https://movie.douban.com/subject/30201138/,06月28日,喜剧 / 动作 / 爱情,中国大陆,405人
封口之谜,https://movie.douban.com/subject/30201138/,06月28日,剧情 / 犯罪 / 悬疑,中国大陆,212人
上海往事之当年情,https://movie.douban.com/subject/30201138/,06月28日,剧情,中国大陆,102人
白牦牛,https://movie.douban.com/subject/30201138/,06月28日,剧情,中国大陆,96人
最后一刻,https://movie.douban.com/subject/30201138/,06月28日,剧情,中国大陆,70人
星月夜,https://movie.douban.com/subject/30201138/,06月28日,剧情 / 喜剧,中国大陆,64人
九龙不败,https://movie.douban.com/subject/30201138/,07月02日,剧情 / 动作 / 犯罪,香港,3394人
善良的天使,https://movie.douban.com/subject/30201138/,07月02日,纪录片,加拿大,682人
别岁,https://movie.douban.com/subject/30201138/,07月02日,剧情,中国大陆,582人
上海的女儿,https://movie.douban.com/subject/30201138/,07月02日,传记 / 纪录片,中国大陆,488人
八佰,https://movie.douban.com/subject/30201138/,07月05日,剧情 / 历史 / 战争,中国大陆,52971人
爱宠大机密2,https://movie.douban.com/subject/30201138/,07月05日,喜剧 / 动画 / 冒险,美国,19593人
猪猪侠・不可思议的世界,https://movie.douban.com/subject/30201138/,07月05日,动画,中国大陆,662人
他她他她,https://movie.douban.com/subject/30201138/,07月05日,剧情 / 悬疑,中国大陆,540人
狮子王,https://movie.douban.com/subject/30201138/,07月12日,动画 / 冒险 / 歌舞,美国,34017人
命运之夜――天之杯II ：迷失之蝶,https://movie.douban.com/subject/30201138/,07月12日,剧情 / 动画 / 奇幻,日本,12099人
宝莱坞机器人2.0：重生归来,https://movie.douban.com/subject/30201138/,07月12日,喜剧 / 动作 / 科幻,印度,5573人
素人特工,https://movie.douban.com/subject/30201138/,07月12日,喜剧 / 动作 / 冒险,中国大陆,2658人
机动战士高达NT,https://movie.douban.com/subject/30201138/,07月12日,战争 / 科幻 / 动画,日本,2262人
